𒀀,a
𒂊,e
𒄿,i
𒌋,u
𒌑,u
𒑐,pa
𒑑,aš
𒀸,aš
𒐉,za
𒀉,et;it;ed;id
𒀊,ap;ab
𒀜,at;ad
𒀝,ak;ag;aq
𒀠,al
𒀪,'a;'e;'i;'u;a';e';i';u'
𒀭,an
𒁀,ba
𒁁,be
𒁉,bi
𒁍,pu;bu
𒁕,da
𒁲,de;di
𒁺,du
𒂉,ku
𒂖,el
𒂗,en
𒂵,ga
𒄀,ge;gi
𒄑,es;ez;eṣ;is;iz;iṣ
𒄖,gu
𒄠,am
𒄣,qu
𒄩;𒄴,ha
𒄭,he;hi
𒄱,up;ub
𒄴,ah
𒄴,eh;ih
𒄷,hu
𒅀,ya;ye;yi;yu
𒅁,ep;ip;eb;ib
𒅅,ek;eg;eq;ik;ig;iq
𒅆,ši
𒅈,ar
𒅋,il
𒅎,em;im
𒅔,in
𒅕,er;ir
𒅖,iš
𒅗,ka
𒆠,ke;ki
𒆥,qe;qi
𒆷,la
𒇷,le;li
𒇻,lu
𒈠,ma
𒈨,me
𒈪,mi
𒈬,mu
𒈾,na
𒉈,ne
𒉌,ni
𒉡,nu
𒉿,pe;pi
𒉿,wa;we;wi;wu
𒊌,uk;ug;uq
𒊍,as;az;aṣ
𒊏,ra
𒊑,re;ri
𒊒,ru
𒊓,sa
𒊕,ṣa
𒊭,ša
𒊺,še
𒊻,us;uz;uṣ
𒋗,šu
𒋛,se;si
𒋡,qa
𒋫,ta
𒋼,te
𒋾,ti
𒌅,tu
𒌌,ul
𒌍,eš
𒌓,ut;ud
𒌔,uh
𒌝,um
𒌦,un
𒌨,ur
𒍑,uš
𒍢,ṣe;ṣi
𒍣,ze;zi
𒍪,zu
𒍮,su
𒍮,ṣu
𒊻,ṣu
𒄬,hal
𒁄,bal;pal
𒋻,kud;kut;qud;qut;sil;tar;šil;haz;has;haṣ;haš;ṭar
𒈮,mug;muk;muq
𒉽,bab;bap;kur;pap
𒁁,bad;bat;baṭ;mid;mit;miṭ;til;zis;ziz
𒋓,sir;šir;šur
𒁷,din;tin;ṭin;ten
𒁇,bar;par
𒈧,kun;maš
𒉆,nam;sim
𒂟,zab;zap;ṣab;ṣap
𒉣,nun;sil;zil;ṣil
𒆏,kab;kap
𒋩,sur;ṣur;šur;ṭir
𒃰,kad;kat
𒁴,dim;tim
𒊕,ris;riš;sag;sak;saq;san;šag;šak;šaq
𒋰,tab;tap
𒋳,tag;tak;taq;šum
𒃶,gan;kan;qan
𒌉,tur
𒍨,zik;ziq
𒄣,kum;qum
𒌈,dam;tam;dum;tum;ṭum;tim
𒆕,gag;kak;qaq
𒉌,zal;ṣal
𒄑,giš
𒆤,kid;kit;kiṭ;qid;qit;sah
𒈛,lah;luh
𒆗,dan;kal;lab;lap;lib;lip;rib;rip;tan
𒋀,sis;siš;šiš
𒍠,zag;zak;zaq
𒊬,šar
𒃲,gal;qal;kal
𒁓,bur;pur
𒃵,gam;qam;gum;gur
𒆳,kur;lad;lat;laṭ;mad;mat;maṭ;nad;nat;šad;šat;šaṭ
𒋤,šud;šut;šuṭ
𒌁,ter;tir
𒍦,zib;ṣib;zip;ṣip
𒀖,lid;lit;liṭ
𒉼,ban;pan
𒁶,gim;kim;qim
𒉏,nim
𒇴,lam
𒂄,dun;šah;šul
𒉻,pad;pat;paṭ;šug;šuk;šuq
𒁹,diš;ṭiš
𒆸,kil;qil;rim;hab;hap
𒁳,dib;dip
𒌇,tug;tuk;tuq
𒂅,puš
𒃻,gar
𒋝,sig;sik;siq;šig;šik;šiq
𒊩,rag;rak;raq;šal
𒍮,ṣum
𒁮,dam;ṭam
𒈝,lum;num
